name,place_id,latitude,longitude,address,phone_number,rating
"Jakaranda Veterinary Clinic & Surgery, Westlands - Nairobi",ChIJN5swCUEXLxgRR0JptVJHrsA,-1.2679033,36.8001589,"44482, Rhapta Road, Nairobi, Kenya",0720 486797,4.5
Nairobi Veterinary Center,ChIJOfIFzCcRLxgRTrmH3pRcirg,-1.287867,36.827486,"City Square, Nairobi, Kenya",0714 973559,4.2
Noble Veterinary Surgeons - South C,ChIJ13SgN5I_LxgReUpnhKqJJog,-1.3207798,36.8237721,"11 Five Star Rd, Nairobi, Kenya",0722 657719,4.9
The Andys Veterinary Clinic - Loresho,ChIJ4Swamq0ZLxgR4q_7FHPaauk,-1.2505608,36.76014170000001,"No. 46, Loresho Ridge, Nairobi City, Kenya",0713 036765,4.2
MOBIVET VETERINARY CLINIC (24/7 Emergency Response),ChIJmwPd8l0ZLxgRjUqpG1tgo3s,-1.2792348,36.7798047,"75 Olenguruone Ave, Nairobi, Kenya",0727 333722,4.9
Noble Veterinary Surgeons - Westlands,ChIJVct63_kXLxgRt8Eb6wh5LG8,-1.257312,36.7859451,"Brookside Gardens, Nairobi, Kenya",0717 109078,4.9
Small Five Vet Clinic and Pet relocation - Rongai Branch,ChIJh8nKyuwFLxgRQKHjwieHyTk,-1.3898467,36.7673288,"Riverside Business Complex (Hashi), Ongata Rongai, Magadi Rd, Nairobi, Kenya",0702 624945,4.4
POSEIDON VETERINARY CLINIC,ChIJIyA4-VYQLxgRii0cTaQfc7A,-1.3135659,36.8176818,"Mai Mahiu Rd, Nairobi, Kenya",0722 415469,4.3
St Austins Rd Veterinary Clinic,ChIJazUroj8bLxgR_SGSFomGbkk,-1.2827741,36.7668247,"91 James Gichuru Road, Nairobi, Kenya",0722 646191,4.8
Garden Veterinary Services Ltd,ChIJ6635byUWLxgRfLCIV7WSLDM,-1.2231024,36.83603279999999,"No.56 Woodvale Drive, Runda Evergreen off Kiambu Road, Nairobi, Kenya",0722 898522,4.7
The Andys Veterinary Hospital - Ngong Road,ChIJ9zyKeEMaLxgRZC3F83yKMPk,-1.3024748,36.755204,"Near Meteorological dept, Nairobi, Kenya",0722 752182,4.2
Petville Veterinary clinic,ChIJpfL-DWkRLxgRNkkePvvrbG4,-1.3030987,36.8014378,"Mbaruk Road, Nairobi, Kenya",0724 950976,4.8
Westlands Paws Veterinary Clinic,ChIJtzhncxUXLxgRD9vLVWAu4T0,-1.2637177,36.8058099,"09 Mayfair Maisonattes B2, Mpaka Rd, Nairobi, Kenya",0700 762529,4.6
Ducknet Veterinary clinic -Lavington,ChIJiwUSA8QZLxgRfoIMfr4Tih0,-1.2620935,36.7750405,"Kanjata Rd, Nairobi, Kenya",0748 299714,4.9
"Small Five Vet Clinic, Pet relocation, Kennels and Cattery - Karen Branch",ChIJu41PjKobLxgRVbVsvkuD5RY,-1.3384708,36.7546606,"Mokoyeti Rd W, Nairobi, Kenya",0702 624945,4.9
PET'S CLINIC & LIVESTOCK VETERINARY SERVICES,ChIJ-eD8Mg5rLxgRonGePb8ggpg,-1.2659433,36.98353,"Kangundo Rd, Nairobi, Kenya",0742 261986,5
VET ON CALL CLINIC🇰🇪,ChIJeYcR6AgdLxgR09gTY9MbXoI,-1.3299479,36.6803805,"Ngong Rd, Nairobi, Kenya",0721 470028,4.9
Noble Veterinary Surgeons - Thika Road,ChIJkdshlbo_LxgRBdRBqpE3VgM,-1.1676792,36.93984659999999,"Umoja Rd, Kiambu, Kenya",0721 399883,4.9
Animal's Choice Mobile Veterinary Clinic,ChIJ82OjkuwRLxgRXxaLZXweD3w,-1.2850881,36.8204967,"Kenyatta Ave, Nairobi, Kenya",0706 101225,4.5
"MOBIVET VETERINARY CLINIC - REDHILL ROAD, NYARI",ChIJz_n2ZvgXLxgRMMpMjBPbQPw,-1.2249367,36.7910138,"Astrol Square, Opposite Hospital Hill Secondary School, along Redhill Road, Nairobi, Kenya",0727 333721,5
Petpals Vet Surgeons,ChIJqWlcWTMRLxgRVOw3bvnG_0c,-1.2884248,36.79616439999999,"KIMS Court, Theta Lane, Lenana Rd, Nairobi, Kenya",0707 229056,4.8
Sercombe Veterinary Surgeons,ChIJ8eazqTEbLxgRkO3dSfJrhT8,-1.3381158,36.72548560000001,"469 Langata Rd, Nairobi, Kenya",0733 720739,4.8
Mapvet Veterinary Services,ChIJ2diUT4k9LxgRwVERQStYpmc,-1.301029,36.7856745,"Ngong Rd, Nairobi, Kenya",0720 002827,5
